DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2008,32000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2009,49000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2010,61000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2011,60000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2012,62000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2013,59232,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2014,47318,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2015,49273,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2016,50795,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2017,51000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2018,51532,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,BLEU,2019,51347,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2008,150000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2009,169000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2010,185000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2011,181000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2012,179000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2013,180780,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2014,188606,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2015,190205,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2016,185557,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2017,185878,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2018,187836,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,BLEU,2019,188820,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2008,7000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2009,11000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2010,13000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2011,11000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2012,11000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2013,11159,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2014,7797,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2015,8326,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2016,8680,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2017,8703,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2018,8853,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,BLEU,2019,8736,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2008,1000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2009,2000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2010,2000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2011,2000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2012,2000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2013,1369,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CY,2014,1369,
